Wavelength Calibration Data
420.57	5.17
420.79	6.17
421.02	-2.83
421.25	3.17
421.48	-2.83
421.70	0.17
421.93	1.17
422.16	2.17
422.38	3.17
422.61	-4.83
422.84	2.17
423.06	-3.83
423.29	4.17
423.52	-1.83
423.74	2.17
423.97	2.17
424.20	1.17
424.42	-0.83
424.65	-5.83
424.88	3.17
425.10	6.17
425.33	1.17
425.56	3.17
425.78	0.17
426.01	7.17
426.24	-4.83
426.46	0.17
426.69	-4.83
426.92	7.17
427.14	7.17
427.37	-0.83
427.60	-8.83
427.82	-1.83
428.05	-5.83
428.28	0.17
428.51	3.17
428.73	-1.83
428.96	2.17
429.19	-2.83
429.41	-4.83
429.64	1.17
429.87	2.17
430.09	0.17
430.32	0.17
430.55	4.17
430.77	-1.83
431.00	-5.83
431.23	5.17
431.45	0.17
431.68	-0.83
431.91	-2.83
432.13	4.17
432.36	4.17
432.59	-4.83
432.81	-2.83
433.04	-0.83
433.27	-2.83
433.49	-6.83
433.72	3.17
433.94	2.17
434.17	2.17
434.40	1.17
434.62	-2.83
434.85	0.17
435.08	2.17
435.30	3.17
435.53	1.17
435.76	-0.83
435.98	8.17
436.21	1.17
436.44	6.17
436.66	-5.83
436.89	-2.83
437.12	-13.83
437.34	4.17
437.57	0.17
437.80	3.17
438.02	9.17
438.25	2.17
438.48	10.17
438.70	11.17
438.93	24.17
439.16	42.17
439.38	159.17
439.61	505.17
439.84	775.17
440.06	1507.17 
440.29	605.17
440.51	55.17
440.74	18.17
440.97	3.17
441.19	3.17
441.42	-1.83
441.65	5.17
441.87	5.17
442.10	-8.83
442.33	5.17
442.55	6.17
442.78	-0.83
443.01	-0.83
443.23	1.17
443.46	-9.83
443.69	-5.83
443.91	5.17
444.14	9.17
444.36	1.17
444.59	-2.83
444.82	4.17
445.04	-0.83
445.27	4.17
445.50	-3.83
445.72	0.17
445.95	-0.83
446.18	0.17
446.40	-4.83
446.63	2.17
446.85	6.17
447.08	5.17
447.31	0.17
447.53	4.17
447.76	3.17
447.99	-2.83
448.21	-0.83
448.44	1.17
448.67	-0.83
448.89	5.17
449.12	5.17
449.34	-1.83
449.57	-0.83
449.80	0.17
450.02	1.17
450.25	-1.83
450.48	3.17
450.70	-0.83
450.93	-4.83
451.16	4.17
451.38	3.17
451.61	-0.83
451.83	-2.83
452.06	1.17
452.29	-1.83
452.51	1.17
452.74	4.17
452.97	1.17
453.19	1.17
453.42	5.17
453.64	3.17
453.87	3.17
454.10	1.17
454.32	0.17
454.55	-2.83
454.78	9.17
455.00	-1.83
455.23	-4.83
455.45	-0.83
455.68	1.17
455.91	3.17
456.13	-0.83
456.36	-1.83
456.58	1.17
456.81	-2.83
457.04	-3.83
457.26	7.17
457.49	-0.83
457.72	5.17
457.94	-0.83
458.17	2.17
458.39	5.17
458.62	-1.83
458.85	-0.83
459.07	3.17
459.30	-4.83
459.52	4.17
459.75	4.17
459.98	1.17
460.20	4.17
460.43	-0.83
460.66	3.17
460.88	6.17
461.11	2.17
461.33	0.17
461.56	-0.83
461.79	-0.83
462.01	4.17
462.24	-2.83
462.46	1.17
462.69	0.17
462.92	5.17
463.14	-2.83
463.37	4.17
463.59	-0.83
463.82	-4.83
464.05	1.17
464.27	1.17
464.50	0.17
464.72	-1.83
464.95	-2.83
465.18	1.17
465.40	4.17
465.63	0.17
465.85	1.17
466.08	-1.83
466.31	-0.83
466.53	-2.83
466.76	-1.83
