Run 1,, ,run 2,,,run 3 ,,changed detectors,run 1 - H2 D2,,,run 2,,,run 3 ,,,run 1 - h2,,,run 2,,,run 3,,,run 1 with filter,dummy data,,run 2 with nd 1 absorptive filter,broad band anti reflective coating 350 - 700 nm,,run 3 with filter,,,run 4,
wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts)
350.08,11.5,,350.08,9.89,,350.08,11.28,,630.09,-1.38,,630.09,-8.23,,630.09,4.23,,630.09,16.85,,630.09,19.23,,630.09,11.38,,630.09,0.23,,630.09,12.08,,630.09,14.38,,630.09,6.62
350.31,10.5,,350.31,8.89,,350.31,8.28,,630.11,7.62,,630.11,6.77,,630.11,-2.77,,630.11,2.85,,630.11,-2.77,,630.11,10.38,,630.11,-15.77,,630.11,9.08,,630.11,3.38,,630.11,-6.38
350.54,14.5,,350.54,10.89,,350.54,10.28,,630.12,0.62,,630.12,12.77,,630.12,-12.77,,630.12,1.85,,630.12,-8.77,,630.12,-1.62,,630.12,-20.77,,630.12,-4.92,,630.12,4.38,,630.12,-8.38
350.77,10.5,,350.77,7.89,,350.77,11.28,,630.14,3.62,,630.14,0.77,,630.14,-12.77,,630.14,4.85,,630.14,1.23,,630.14,10.38,,630.14,-6.77,,630.14,13.08,,630.14,0.38,,630.14,10.62
350.99,10.5,,350.99,12.89,,350.99,14.28,,630.16,-8.38,,630.16,-7.23,,630.16,-14.77,,630.16,-11.15,,630.16,-10.77,,630.16,-8.62,,630.16,-31.77,,630.16,-8.92,,630.16,-12.62,,630.16,-19.38
351.22,12.5,,351.22,9.89,,351.22,15.28,,630.18,-4.38,,630.18,-10.23,,630.18,-5.77,,630.18,-7.15,,630.18,-3.77,,630.18,-2.62,,630.18,-18.77,,630.18,0.08,,630.18,15.38,,630.18,-4.38
351.45,8.5,,351.45,10.89,,351.45,10.28,,630.2,8.62,,630.2,4.77,,630.2,13.23,,630.2,2.85,,630.2,3.23,,630.2,4.38,,630.2,16.23,,630.2,12.08,,630.2,30.38,,630.2,1.62
351.68,8.5,,351.68,11.89,,351.68,11.28,,630.22,14.62,,630.22,21.77,,630.22,28.23,,630.22,17.85,,630.22,15.23,,630.22,25.38,,630.22,20.23,,630.22,40.08,,630.22,29.38,,630.22,5.62
351.91,9.5,,351.91,8.89,,351.91,11.28,,630.23,49.62,,630.23,52.77,,630.23,66.23,,630.23,64.85,,630.23,77.23,,630.23,79.38,,630.23,75.23,,630.23,79.08,,630.23,90.38,,630.23,76.62
352.13,9.5,,352.13,10.89,,352.13,8.28,,630.25,27.62,,630.25,20.77,,630.25,11.23,,630.25,21.85,,630.25,34.23,,630.25,32.38,,630.25,19.23,,630.25,22.08,,630.25,30.38,,630.25,22.62
352.36,8.5,,352.36,7.89,,352.36,8.28,,630.27,25.62,,630.27,21.77,,630.27,17.23,,630.27,20.85,,630.27,15.23,,630.27,20.38,,630.27,9.23,,630.27,12.08,,630.27,30.38,,630.27,17.62
352.59,10.5,,352.59,8.89,,352.59,12.28,,630.29,6.62,,630.29,16.77,,630.29,20.23,,630.29,4.85,,630.29,16.23,,630.29,12.38,,630.29,14.23,,630.29,19.08,,630.29,21.38,,630.29,21.62
352.82,12.5,,352.82,9.89,,352.82,12.28,,630.31,0.62,,630.31,-2.23,,630.31,6.23,,630.31,-1.15,,630.31,-0.77,,630.31,14.38,,630.31,1.23,,630.31,2.08,,630.31,7.38,,630.31,12.62
353.04,7.5,,353.04,10.89,,353.04,13.28,,630.33,-3.38,,630.33,5.77,,630.33,8.23,,630.33,13.85,,630.33,2.23,,630.33,10.38,,630.33,-11.77,,630.33,6.08,,630.33,14.38,,630.33,-3.38
353.27,8.5,,353.27,11.89,,353.27,14.28,,630.34,7.62,,630.34,6.77,,630.34,16.23,,630.34,5.85,,630.34,3.23,,630.34,12.38,,630.34,1.23,,630.34,9.08,,630.34,16.38,,630.34,3.62
353.5,7.5,,353.5,11.89,,353.5,11.28,,630.36,10.62,,630.36,24.77,,630.36,4.23,,630.36,3.85,,630.36,5.23,,630.36,6.38,,630.36,4.23,,630.36,15.08,,630.36,15.38,,630.36,-1.38
353.73,24.5,,353.73,27.89,,353.73,21.28,,630.38,15.62,,630.38,13.77,,630.38,6.23,,630.38,17.85,,630.38,25.23,,630.38,9.38,,630.38,6.23,,630.38,28.08,,630.38,17.38,,630.38,26.62
